 node      each                       transition 
 kinds    states                       sequences
 0        0 0 0 1 1 0 0 0 0 1 1 0         0 0 0 
 0        0 0 1 0 1 0 0 0 0 1 0 1         6 0 0 
 0        0 0 0 1 0 1 0 0 1 0 1 0         7 0 0 
 2        0 0 0 1 0 0 1 0 1 1 0 0         9 0 0 
 1        0 0 0 1 1 0 0 0 0 1 1 0         6 5 0 
 0        0 0 1 0 0 1 0 0 1 0 0 1         6 7 0 
 1        0 0 1 0 0 1 0 0 1 0 0 1         7 6 0 
 1        0 0 0 1 1 0 0 0 0 1 1 0         7 8 0 
 2        1 0 0 0 0 1 0 0 0 0 1 1         6 7 4 
 1        0 0 0 1 0 1 0 0 1 0 1 0         6 7 5 
 1        0 0 1 0 1 0 0 0 0 1 0 1         6 7 8 
